Review,Stars
"I am using the app at the moment. It's an good app with good concept of banking digitally without maintaining minimum balance and also provides free online services like online transfer, etc. But when I deposited 3000/- in my 811 account they have debited 250/- without any reason. Because it's a...Read More",3
"Hello friends, It's a best mobile banking app in India named as Kotak 811 & Mobile banking. I used this app and service for one year. The best thing is, you can able to open an account within a minute, only you need your aadhar card and PAN card. And then the best feature is it's zero balance op...Read More",5
"We Can Open Kotak 811 AccountCrom Our Home. This Bank's Services Also Good. But Why I Dont Like It.

Guys I Am Tried To Open Kotak 811 Account, And They are, The Kotak 811 Website Showing ' Kotak Bank Not In Your Area'.

So 50% of people Facing Thia Problem. And The Main Point Is Kotak Mahin...Read More",1
"Friends, I am here to give review call Kotak Bank which which provides banking services on the go i.e. we can use internet as a medium of transferring funds from one bank account to another. This bank provides interest rate @ 6% in comparison to 3.5 percent interest rate of SBI and there is much...Read More",5
Friend's today I am going to give the Kotak-811 review. Frist of all I talk about its service .it's service is very nice. you can open its account on mobile at home. His account doesn't even take 5 minutes to get active.in today's time where the bank has to make line in the crowd.that's where yo...Read More,4
Kotak 811 app is mobile app. It is a banking app ptovided by kotak mahindra bank. The kotak 811 app provide zero balance account. You can create your zero balance account through kotak 811 app. It is very easy app to create your accound in kotak bank. The app user interface is now good after tak...Read More,4
"I have been using Kotak 811 banking since 6 months now. They provide great services with zero balance account opening and most of it's services are free but problem is with their app. It too damn slow like a tortoise! ??

Yes it's very slow to load and most of the time it crashes like anything...Read More",2
"Hi friends I am using kotak 811 app since last 6 months and I experienced this is a good app but there is a problem in OTP . the otp is not so quick it takes time to send you the Otp.

there is one more thing i.e. the virtual debit card it is good in use and u can also take the physical debit ...Read More",3
My review on kotak 811. guys I'm telling you this is was awesome kotak zero balance account best way to create a savings account.  I also have a kotak-811 account and believe me it's was a outstanding. Customer service is also best of kotak Mahindra Bank. And you know what netbanking was gerat i...Read More,4
"Kotak mobilw banking app is very low. It soes nott work all time. Most of the time it crashed. It says request failed when I need it to work

OR based UPI payment is not availabe in this bank. To contact the customer care we need the main balance to call. The behavior of the customer care agen...Read More",1
One n a half month before I got a call from kotak mahindra bank that you can get a credit card are you intrested to apply for that. so I told her that I am ready to apply what the procidure. she told there executive will come at my place and he will collect all thw required document and after th...Read More,1
Well I have opened an account before 8 months this bank is very consumer friendly. It is very simple and easy way to open an account of Kotak 118 account. Because when I did not have an account in any bank then I opened Kotak 118 account and still I am using it's mobile app continually. I am so ...Read More,5
Kotak mobile banking app is very slow. It doesnot work all time. Most of the time it crashes. It says request failed when I need it to work. QR based UPI payment is not available in this bank. To contact the customer care we need the main balence to call. The behavior of the customer care agents...Read More,1
"Well I have opened an account recently, this bank is most consumer friendly . The concept account opening facility is just so simple , I didn't have to move anywhere everything was just on the door.Well the main feature of this bank is that you can open an account at zero balance . The only char...Read More",4
"This review will be against my reviewing style because it is the first tym I had no cons, except that of excessive advertisements but hey come on nowdays everyone do that and through this advertisement only I came to know of opening a bank account without actually going to the bank , so I starte...Read More",4
I am using kotak 811 from past 6 months. process of registration is very simple with the help of pan card+ adhar card  either go to official web site or use kotak 811 app( it might not work properly in ur phone as I face same problem but after registration they give update version for my phone w...Read More,5
Hello friends I am sharing my experience of Kotak-811 .Few months earlier I dont have any bank account.I tried to open account in almost every bank but they usually ask for money to open a account .Then I found Kotak-811 on social media and I downloaded the app and open a new account and submitt...Read More,5
"I download Kotak app to open an account in Kotak bank but they totally disappoint me.

User interface is very difficult to understand and too many use less options.

This app has too many lags and very difficult to open any account.

They told me that it is totally free to open an account ...Read More",1
"I have recently made account on kotak 811& mobile banking app.

This app is very good for banking and online transaction pusrposes.

I made account and applied for ekyc it took two days to get approved.And my details were approved.

I requested for Physical debit card through app only at p...Read More",4
"Hallo friends today I am telling about Kotak-811& mobile bank I have bad exprince last two months at Kotak -811mobile bank its bad and cheated appliction.

My email everyday notifiction for Kotak -811 for me and one day I see this email and register Kotak -811.

Then I fill all my bio data a...Read More",1
"Hello guyz I would like to share my experience with this Kotak-811 Mobile Banking service. This app is having very bad interface and they don't have service in all the places, very limited cities are covered in this mobile banking service. I tiered to open account and when I saw the interface it...Read More",2
"I receives some emails and messages from kotak Mahendra Bank.

Oneday finally I decided and downloaded this app in my smart phone and I started registering for free bank account instantly, but I was inserting my precious information and I feel as it I am just a step away from creating a new ba...Read More",1
"Hi frds,

I would like to share my experience about kotak mahindra bank. I receives so many emails and messages in

alerts to register, so one day I decide to install this app in my smartphone and also started to reistering for a free bank account, instantly but I was insert a my precious in...Read More",1
I got so many emails and messages n alerts to register with Kotak Mahendra bank. One day finally I installed this app in my smartphone and started registering for Free bank account instantly But as I was inserting my precious information and I felt as if im just a step away from creating a new b...Read More,1
"I am shivakumar savalgi sharing personal experience abouat this app.this app has featuer of zero balance account but to open this account you have to submit your KYC document throught the agent of the bank. When I submit my request for KYC, they take around 1month to contact with me after that n...Read More",1
Hello friends today I am going to share my experience of kotak 811 & mobile banking app I if you like please like and comment on my review.kotak 811 open the bank account online at zero balance but this app having some technical issue.i register the details like pan card adhar card & name date o...Read More,1
"Kotak -811 open the bank account online at zero balance but this app is having technical issue. I registered the details like pan card , adhaar card , and name dob etc by using friend mobile. The issue occured to me that automatically the app insert my friends mobile number and adhaar card witho...Read More",2
"Hello everyone, Today I share my personal experience about this app. This app has the feature of zero balance account but to open this account you have to submit your KYC document through the agent of the bank. When I submit my request for KYC, they take around 1 month to contact with me after t...Read More",1
Kotak Mahindra mobile banking concept is very nice its used for account opening at home and and don't take document formalities so I like it . I am using Kotak Mahindra mobile banking and open saving account at Kotak Bank. It's app have live layout and design is very nice and have many concept l...Read More,5
"Hello friends, I opened zero balance account through this app 3 week ago and slightly get dissapointed due to their hidden terms and conditions. They offers you to open a zero balance bank account within 30 seconds without paper work at home with your mobile but after opening we have to do paper...Read More",2
Hi I am Srikanth and I am going to share my opinion my kotak 811 app. I have applied to this due its most highlighted in ads and e-mails. To create an account we need Addhar card and pan card for zero account instantly using mobile. This app performance is very poor and slow. I have completed my...Read More,1
"Hy Guys, Two months ago, I opened an account in this bank, a very useful bank. I had filled the form on the internet and the next day the bank official called and talked to keep the Aadhaar card and photo together. Two hours later, he opened accountant easily. During Diwali, he gave me a break f...Read More",5
"Last month I got a call from the marketing department of Kotak Mahindra Bank and I just received the call, they just said me to use their new paperless bank Kotak 811 and they also said that it will be very very helpful for me in the future and I installed the app and I submitted all my document...Read More",1
Kotak 811& mobile bank is giving to you afake promissing that he opan an account in 5 minutes the app just registered you only on my personal experiance I install this app and I will get registered and the costomer service support are giving a notification calls on daily 1-2 times a day. After g...Read More,1
Hello friends today I am going to give my feedback on kotak 811 and mobile banking app. This kotak-811 is a mobile banking app which helps you to open a zero balance saving account and can help you to do a free online transactions. This app is not a great app as far as my personal experienced is...Read More,2
Kotak 811 bank & Mobile Banking is all about make it simple and look good. I’m using Kotak 811 bank & Mobile banking from past three month its so simple and easy use. The plus point of kotak 811 & Mobile banking is simple easy user friendly & made it look good. Its like one touch and bank on you...Read More,4
"I used to get ads of 811 always while browsing so I thought to give it a try.

Firstly it took a lot time to load

So when I clicked for signup option and filled various fields like mob no and then the app asked for aadhaar uidai number and when I entered my uidai no it showed my aadhaar det...Read More",1
Hey frnds the keys fact for doing this reviewing of most irritating banking app I ever used in my life infact I think the most unrated app is working good in compared to Kotak 811 and don't know why it's called banking app dammed it's charged the rental for atm but now a day all banking provides...Read More,1
"Just in few seconds everyone can get a zero balance bank account very smoothly. Without visit bank branch you can easily operate this account. International visa debit card & cheque books are also available from home. Bank statement, fund transfer becomes very easy through this app. You can appl...Read More",5
Kotak Mahindra bank service is awesome and they can only give 6% pa interest on 811 account. Everyone should go for it.its very easy and takes only 7 minutes to open an account and virtual debit card is also provided. I am totally in love with this app. download it and get the benefit of the koy...Read More,5
"So today 22 Nov, I got my KYC done. For your surprise I have registered it a month back. Somewhere in starting of Nov.

Overall experience with this app is not much good. I am not complaining the trust factor at all. But their app and KYC service both are slowest in the market.

App itself -...Read More",2
"Friends today I share my experiences with kotak 811 online 0 balance account opening.

Last few weeks all most every day I an getting a mail from kotak bank that I can open a 0 balance account in just 5min without visiting bank .

So I try to open it and really its working you can open it in...Read More",2
Hi friends this is about my review Kotak Mahindra Bank if you are feeling for that you have to go for that personally denied that reason behind that this whole thing what I am going to say about that this whole thing that happened with me and continuously it's more than 3 month I am following th...Read More,1
"Hi friends.

While scrolling the facenook, I have seen kotak- 811 mobile baking savings account opening at zero balance amount. So I enroll for the account with adhar number and PAN number. And just after 5 mins I have got my account number and virtual card debit card in the app. It took 6 day...Read More",4
"In the name of online banking Kotak has cheated me .In the advertisment they said zero balance but in actual I have to keep minimum balance of Rs 10, 000.I was not aware of this and they debited Rs 336 from my account when I complained this to customer care then they told me that this is normal ...Read More",1
This is the very great application of the android mobiles phone. I am using this application . it's the very very good there. I want to say something about it that it's the way of open saving account by digital India. it's the paper lace services. concept is good there . design is very very good...Read More,5
Personally I use this app. The app loads very slowly. and frequently shows systems is not able to process. Solve this issue and make it fasser so I can gice it good ratings. But you can open your account in few minutes without paperworks. The worst thing is in this app is you can take screenshot...Read More,2
"Hi friends, my name Joel.

Kotak - 811 & mobile banking is easy banking system which we can easily open a account without any paperwork

I opened a zero balance 811 account through app and they converted my account to normal themselves and now they debited charges for not maintaining minimum...Read More",1
"One month back I joined in this bank by singup in kotak mahendra 811 mobile app, nice to use, the main thing is easy to pay bills and fast tranction I suggested to my few friends to install and singup I dont have any negative points to say about this app you should try once but debit and credit ...Read More",3
"Hello friends , myself Ramanand and going to talk about a Kotak-811 mobile bank app.

As I tried to open bank account but my app crashed after that when I tried to register then it shows already registered. I got a call from Kotak that an executive will come and visit me regarding documents , ...Read More",2
"THE NAME ITSELF DOSENT NEED ANY INTRODUCTION.

I ALSO DO HAVE AN ACCOUNT IN THIS BANK AND I AM VEREY MUCH SATISFIED WITH THE CUSTOMER CARE AND OTHER FACILITIES AND RESPOND OF THE BANK SERVICES

I AM ALSO USING THE MOBILE BANKING APP and I am sattisfied it with too

THE RESPONCE TIME OF THE...Read More",3
"Kotak 811 is a zero balance savings account which can be opened in 5min which is advertised everywhere. I opened a account where the activation tookplace next day morning.

So after confirming my account has been opened .First I deposited 4300₹ in my kotak bank.later I want to make a transfer ...Read More",2
"The application became hopeless these days. I am not even able to reach the login pages. Whenever I try to login, it takes hell lot of time to load up and after long wait, it says that the system is not able to process the request. Bank has to take this issues seriously, else you would loose tru...Read More",1
Kotak 811 is one of the great work done in digital banking. Now you can open account in just 5 minutes .i have opened this account because all most all bank are charging NMC now a day and this provide free that is zero account .you do not need to keep any amount and you get virtual card also .yo...Read More,5
Nice app. Easy to use I have my account in few minutes. Great concept and time saving. Very user friendly and easy to use. Need some improvement in fund transfer and funding the account.over all good experience of using app. Recommend to use to the friends. Thanks Kodak bank for awesome applicat...Read More,3
"This is the only debit card in india which works on playstation store apart from icici and hdfc.

Kotak 811 is a zero balance account unlike hdfc and icici which requires a minimum balance.

And its an international card and works on all overseas websites as well. Registration is so simple....Read More",5
Hi everyone today I am going to share with you my personal experience with the online banking with the kotak 811 and mobile banking. I had created an account with this kotak bank for online banking in my mobile. It's very easy to fill the online form and install the app on the mobile phone for b...Read More,4
Its been seven month I am using kotak 811 mobile banking. It seem me good but for few days experiance was worst. I had done a three recharges with kotak 811 on my personal number. All the time payment have been deducted from my account but recharge would not be succesful. Then I called to the cu...Read More,2
Hi I am rajendra and I am talking about kotak -811 mobile banking.So this bank is so fast in mobile banking service.Kotak -811 is really nice feauture this generation.so u have no kotak account just five miniute and generate with your saving accoung instant with this mobile banking service.kotak...Read More,5
"This is Kotak bank also very simple and geuine this is paper less bank account in mobile and this is genuine process.no any other information for account creative only for pan card and aadhar card will select for account create.this is a very simple process for account create.

Please create f...Read More",4
Just want to add the fantastic experience I had with Kotak Bank 811. Yesterday I was just checking my emails and there was an email regarding Kotak bank 811 instant opening of zero balance account. I was looking for a new account and just with the curiosity of a new account in 5 minutes I gave i...Read More,4
"Nice app using since 4yrs. No issues found until now. Giving one star less because some functionality like demat and loan are not yet explored

...Read More",3
"I received huge number of messages to open a zero balance Kotak 811 account. So I opened account in it. They provide a free virtual Visa Debit Card.

Kotak 811 provide about 700 cashback in a year. Everything are looking Fine for a year. But after 1 year my account suspended because I didn't c...Read More",3
"As far as my point of view for this app , I am using this app since last 1 year and till now I am satisfied with it and can say every person who want to enjoy online banking can bank upon this app, easy to open , easy kyc verification, easy to handle transactions and most importantly its secure....Read More",4
"It is a good initiative, people are friendly and helpful. really glad that customer queries are answered.

...Read More",4
"Kotak 811 bank has made my transaction very easy up transaction doesn't take that time to transfer but one thing I had not like about this is I can only see the debit SMS not credit sms but I do love this mobile banking good job kotak

...Read More",3
"I have been using kotak mahindra bank last 5 years . in my opinion its a best bank ever . They provide visa debit card yearly charges of 299 rs something . I can use my kotak debit card for international transaction. each and every option are there in this kotak bank app like Bhim upi , apply cr...Read More",5
"Worst bank . Froud transition hone par koi support nhi . Bank ke employees ko hi bank ki police nhi pata . Cousmter care Bolte hai barnch m bat karo barnch bolta hai cousmter m bat karo. Koi bhi account open na karo

...Read More",1
"Worst account.. charges for every transaction..compared to any other bank kotak is the worst bank and 811 is a worst account it's just robbing the public

...Read More",1
"Hi, I have registered complaint #1-12780942769 for the fraudulent transaction on 03-11-2019 when 34996/- were deducted from my saving accounts, However, I have not received any refund or the status of my complaining so far, I always get a response that we will respond within 90 days, Request you...Read More",1
"I I'm using Kotak811 from 2 months very simple,

With out KYC my transactions are 5000/-

bank provided me a convenient date for KYC...

With one app you will get digital ATM, Forex Card, FD, very simple and easy use to buy MF

My self always I'm giving 10 stars

Thank you Kotak...

...Read More",5
"They will. Take 5 days to complete the kyc... I deposited 5k and since bcoz of kyc incomplete they blocked my account and am. Unable to take out my money... Executives are also very lathargiv dont prefer

...Read More",1
"Hi Guys,

never go for this 811 account

Cons:

the bank will automatically allocate some branch from Chennai as your home branch.

when its time to close or get some details support guy will ask you to visit your home branch.

I had the same issue my account got closed because of KYC ...Read More",1
"I m giving a complaint of dispute transaction. still I didnt get any reply or response regarding this.i m very disappointed. when I visit nearest branch he told call on help centre. till we cannot help.

now I m closing this account. I didn't get my money ok but I dont want service like this. ...Read More",1
"My Kotak Forex card is not working from past 4 months. I have called & written mails several times (more than 15) in the helpline but sadly no +ve response is received from them.

This is my worst experience ever with any bank. GUYS PLEASE STAY AWAY FROM KOTAK BANK, THEY DON'T CARE THEIR CUSTO...Read More",1
Online banking and 118 is totally worst services of them. How can we use them online services when servers are always down and their customer care serviceses are chargeable. I tried so many times to apply my new debit card of 118 but Keya is always repeating the same manu and customer care Is no...Read More,1
"The staffs at malleswaram branch are not cooperative atl all. For one simple work they cant give easy solution instead they make us run here and there simply.

...Read More",1
Disgusting app even after several complaints the credit card is auto activated also while recharging for prepaid before I select the network it automatically selects a wrong network thus charging for Airtel while I have to recharge for jio....! Also during the money transfer even after typing th...Read More,1
"Kotak bank executive are harrasing me a lot, first things I had asked for reversal payment for my credit card. And I kept dropping mail stating I have not received any letter and I have clearly mentioned that unless I receive the letter I will kot make payment. Entire Feb gone no one responded t...Read More",3
When I was working withXYZ company I met Kotak bank ppl in the office and open a account. They just took my company ID details and asked me to sign the forms. Now that I got my kit I installed the app and I entered the DEBIT CARD DETAILS ONLYYYY to activate my app. After some days I got a call f...Read More,1
"I asked for name changing on 2-3-2019 till now they didnt change. if contact customer service. they are helping properly. dont go for this bank to open account. frustrating service. cant able to statement for the past one year. if request also they wont. pakka fraud bank.

...Read More",1
"Kotak mahindra 811 app is very nice and friendly. It is running very smooth. Any body can open the free account online through this app. once he/ she will download from google play. After verification you can do online transaction, register the third party, pay own bills, buy kotal general insur...Read More",5
"Hello, My name is Hemant Ghemiray and im an Kotak 811 saving Account holder, In the Start when using my Debit card for Transaction, everything was working well but recent in this month, it happened 2 times that I used my Debit card for Transacting cash from ATM's, after entering my Pin code in A...Read More",1
I applied for a credit card but they declined my credit card application. because they said my details not match my details. Details did not match because Kotak Mahindra guy calls me for details verification but that guy did not come to verify details and that person write itself my details. it ...Read More,1
This bank is very usefull for people.Everyone want to use bank in digitaly form.You can get good interest from this bank.You will get physical debit card in your app.I want to suggest you guys open the account in this bank.Really It is one of the best bank for us.You can book your ticket from th...Read More,3
"Hi, I have recently opened the account to kotak bank, without my request they debit the amount from my account its happening 3rd time my account with in 7month. I called to customer care to tell my problem they will not listing my request and give respect to customer. and he will cut the phone....Read More",1
Kotak Mahindra bank service is very very wrost. Even they have no any custumer service number to talk with them. Custumer have no any option except waiting. They take no any guarntee about your transaction. Heartly I am very very disappointed with the service of KOTAK MAHINDARA BANK. I request u...Read More,1
"Hello friends, you know kotal 811 banking is all for online and thier best think that you should not cumpulsary to walk in neareat branch like other banks , you know the kyc is very important for online banking nd transaction and you have to visit to branch for kyc. But I kotak 811 you have opti...Read More",3
Kotak mahindra banks banking service is very helpfull and super fast service. the employee are also friendly cheque submition and clearance and internet or mobile banking is very easy and fast . I recommend to people join the kotak mahindra bank .but creadit card aprooval service is very poor.th...Read More,3
I had somany expectations about this bank and their application also.i tried to open a bank account through their application.iam very unhappy about this bank.i couldn't complete account opening process through online.i tried someny times to intimate bank.but nobody repond from banks side. If u ...Read More,1
I have used many other mobile banking app. But this kotak app is just awesome very easy to use very fast and no too much complications like other apps. I used to do all my transactions with this kotak mobile banking app. Everything is you need is just in your finger tips. From transactions to st...Read More,5
I used this app since last 4 months and I got to know that this app is so easy to use and the service of kotak is best as compare to other and I always need to trnasfer money to other account and kotak bank app always make my work easy and transfer my money with in a sec to other account. And th...Read More,5
I open kotak 811 account recently in online after opening I downloaded kotak app in my mobile but is not generating MPIN so that I am unable to use this account still I trying to get MPIN daily sending sms to the 7656788 but no use and also I visited near by me kotak branch but they are not help...Read More,1
I don't like kotak bank service .I have open my bank account in this bank .after some days my account was by kotak bank officer due to incomplete address but I have already give adhaar and D.L as a address proof. I have use this bank ATM already .this bank was very bad service . I have complaint...Read More,1
"Friends, this days we have our online banking process as everything is done through online which is very good for everyone of us. I recently opened my new account on kotak bank, the most advantages way of this bank is within just two or three days it gets completed for opening account on this ba...Read More",3
"The kotak mahindra bank which is best for use any where and less paper use and every thing used by simple and small clicks.

The only one bank which simply opens by having pancard and aadhar card by using small simple clicks

They will only provide an agent for kyc details and for documents....Read More",4
"I think offline banks are better than kotak online bank, all services available in offline banks, I would highly recommend Digi Bank over Kotak 811. Digibank has recently launched a branchless, paperless bank within India with an online only model, calling it out Digi Bank. The bank has a number...Read More",3
"Hi guys my name is Dev and I have been using the app for a month. I created my kotak 811 account online as I wanted a personal account without any interference from my passbook like payment at liquor shops etc.

I created kotak 811 account in just 6 mins it was real quick after that I started ...Read More",3
I used this app since 1 month. It has superb interface and very good online transaction. I used Imps fund transfer. And experience was superb. The transfer of fund is done in second. Good function. You can use this app as pocket wallet and can transfer money any time. But sometimes it takes time...Read More,3
L use this feture from kotak bank after 6 month I write this review so this app is good and the benifit from bank is also good. You have able to make account online and at your home also you transfer money no cost of any service or orher taxes. Also this feture in app and app free avilable on go...Read More,4
"I have had one of the worst experience with KOTAK

I have had one of the worst experience with KOTAK 811 support. ONEPLUS5 T selling its T version and complimentry offer is Insurance which is collaboration of KOTAK, SRVIFY AND ONEPLUS. Now, As per terms and condition I need to download an app ...Read More",1
Its nice bank for mobile banking that update there new version apps and this ia working nicely bit that is one problem location then that is very essential net banking in life so my one featur use this app it get 6% Pf there use that app it helps to you solve some problem that no riskable it sec...Read More,3
This is very good online banking app to use.o ne can easily open an account just a few minutes.its interest rate also good so pls use it fr ur use.kotak is not based on india but also in foreign.so pls pls pls use it.Be quick now to use it come on yr why ar u wait.be quick.kotak is not in bankin...Read More,4
"Kotak mobile banking is the very easiest way of money transfer.we also note that this mobile banking is providing you very fastest way of banking. In this function does not have any problem, but you have any problem or any questions then e ask us they provide the problem solutions and taking car...Read More",3
"I like this kotak mahindra bank because all fetures of kotak mahindra bank are nice.

Kotak mahindra bank are give 0% deposite for open a new account and give 6.00% intrest all customer and his apps are very nice.

Aaps advantage 1) open account on your mobile

2) bank statment given your ...Read More",4
"This app. Very simple in working. Its provides various feautres like. Virtual debit card, check statement of account, online recharge, billing, automatically etc. Some servies is very good like cheque book request, debit card request, email statement provide etc. Many good services provided by k...Read More",4
"They will ask account zero balance, then will ask to convert saving account with min balance, I'm worried about my account when to close to get peaceful life, no ATM near by, quarterly SMS alert high, annual debit card charges high, Fixed deposit retun is less quarterly cheating customer making ...Read More",1
Myself I experienced on this kotak-811 when first I have seen in my facebook account they advertising that there is no service charge r any kind of documentation fee.but when I attended to the bank representative I know real fact what they r saying to me just they will say that kotak is only ban...Read More,1
I am akash and I have open kotak mahindra 811 on my mobile its so fast sevices money transfer mobile recharge bill pay and booking so easly I have very happy becouse I have got it chequebook and debit card on only 5 days on my home and his intress on 6% on and its very good and my experiance are...Read More,5
"Now a days Time is Money and Kotak Mahindra Bank has initiated a/c to all. Its very easy to open account. User friendly online transaction. Silent features of 81 a/c is trasfer funds, mobile recharge, even train booking, e statement, cheque book request. There is no need to go bank, no need to w...Read More",5
I think you were not aware about all the features of Kotak Mahindra 811 account. If you are looking for a truly digital bank account…we have found exactly that…it’s Digibank by DBS. It is a mobile only bank that enables you open to an account without any paperwork or signatures; all it requires ...Read More,2
The kotak mahindra bank launch its own app and really this aap is very useful.we are handled this aap easily.we transfer our money to others account fast and without any problem.this aap is good compare to icici bank aap.we paying bill or other phones or dish recharge urgently.kotak mahindra aap...Read More,4
Helloo friends as I oppened kotak 811 mobile account .they firstly said that they provide free zero balance acc.but after that I asked for debit card they said that I have to deposite 5000/-.rs to my account for debit card.then they said u got link when your account is open.still not got the lin...Read More,3
